"nom_comuna","count"
"ALGARROBO","13817"
"CABILDO","19388"
"CALERA","50554"
"CALLE LARGA","14832"
"CARTAGENA","22738"
"CASABLANCA","26867"
"CATEMU","13998"
"CONCÓN","42152"
"EL QUISCO","15955"
"EL TABO","13286"
"HIJUELAS","17988"
"ISLA DE PASCUA","7750"
"JUAN FERNÁNDEZ","926"
"LA CRUZ","22098"
"LA LIGUA","35390"
"LIMACHE","46121"
"LLAILLAY","24608"
"LOS ANDES","66708"
"NOGALES","22120"
"OLMUÉ","17516"
"PANQUEHUE","7273"
"PAPUDO","6356"
"PETORCA","9826"
"PUCHUNCAVÍ","18546"
"PUTAENDO","16754"
"QUILLOTA","90517"
"QUILPUÉ","151708"
"QUINTERO","31923"
"RINCONADA","10207"
"SAN ANTONIO","91350"
"SAN ESTEBAN","18855"
"SAN FELIPE","76844"
"SANTA MARÍA","15241"
"SANTO DOMINGO","10900"
"VALPARAÍSO","296655"
"VILLA ALEMANA","126548"
"VIÑA DEL MAR","334248"
"ZAPALLAR","7339"
